"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"279683077","2023-12-29T00:00:00.000","03:43:00","QUEENS","INSIDE","113","0","COMMERCIAL","RESTAURANT/DINER","false","(null)","(null)","(null)","25-44","M","BLACK","1047268","189119","40.685543","-73.772774","POINT (-73.772774 40.685543)"
"279709792","2023-12-29T00:00:00.000","21:22:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","false","25-44","M","BLACK","25-44","M","BLACK","1018514","178646","40.656953","-73.876507","POINT (-73.876507 40.656953)"
"279758069","2023-12-29T00:00:00.000","18:40:00","BRONX","OUTSIDE","40","0","STREET","(null)","false","(null)","(null)","(null)","65+","M","BLACK HISPANIC","1010564","235262","40.812379","-73.90494","POINT (-73.90494 40.812379)"
"279609499","2023-12-27T00:00:00.000","19:47:00","BRONX","OUTSIDE","42","0","STREET","(null)","false","(null)","(null)","(null)","<18","M","BLACK HISPANIC","1015730","240807","40.82758","-73.886248","POINT (-73.886248 40.82758)"
"279547332","2023-12-26T00:00:00.000","23:31:00","BRONX","OUTSIDE","46","0","STREET","(null)","false","45-64","M","WHITE HISPANIC","45-64","M","WHITE","1011035","250045","40.852951","-73.903178","POINT (-73.903178 40.852951)"
"279547333","2023-12-26T00:00:00.000","23:43:00","QUEENS","OUTSIDE","106","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1034904","190307","40.688883","-73.817347","POINT (-73.817347 40.688883)"
"279547333","2023-12-26T00:00:00.000","23:43:00","QUEENS","OUTSIDE","106","0","STREET","(null)","true","(null)","(null)","(null)","25-44","F","BLACK HISPANIC","1034904","190307","40.688883","-73.817347","POINT (-73.817347 40.688883)"
"279500313","2023-12-26T00:00:00.000","05:09:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1008749","179070","40.65815","-73.911701","POINT (-73.911701 40.65815)"
"279547333","2023-12-26T00:00:00.000","23:43:00","QUEENS","OUTSIDE","106","0","STREET","(null)","false","(null)","(null)","(null)","25-44","F","BLACK HISPANIC","1034904","190307","40.688883","-73.817347","POINT (-73.817347 40.688883)"
"279547333","2023-12-26T00:00:00.000","23:43:00","QUEENS","OUTSIDE","106","0","STREET","(null)","true","(null)","(null)","(null)","25-44","M","BLACK","1034904","190307","40.688883","-73.817347","POINT (-73.817347 40.688883)"
